Dirección;Comuna;Latitude;Longitude;;;;;;;;;
Portugal 112;Santiago Centro;-33.4432212;-70.6376984;;;;;;;;;
Av. Ismael Valdés Vergara 838;Santiago Centro;-33.4337463;-70.6515717;;;;;;;;;
Av. Bernardo O'higgins 1449;Santiago Centro;-33.4446063;-70.6565279;;;;;;;;;
Huérfanos 1437;Santiago Centro;-33.4402268;-70.6576062;;;;;;;;;
Compañía 2305;Santiago Centro;-33.4403152;-70.6686707;;;;;;;;;
San Diego 235;Santiago Centro;-33.4481144;-70.6509662;;;;;;;;;
Almirante Latorre 310;Santiago Centro;-33.4516183;-70.6645897;;;;;;;;;
Bandera 201;Santiago Centro;-33.4408223;-70.6520225;;;;;;;;;
Santa Rosa 2055;Santiago Centro;-34.637206;-58.655026;;;;;;;;;
Alameda 3390;Estacion central;-33.4516996;-706811191;;;;;;;;;
Av. Vicuña Mackenna 1048;Ñuñoa;-33.5244019;-70.5975737;;;;;;;;;-33
Ahumada 178;Santiago Centro;-33.4410303;-70.6507703;;;;;;;;;
Libertador Bernardo O'Higgins 815;Santiago Centro;-34.1643687;-70.7455325;;;;;;;;;
Bandera 201;Santiago Centro;-33.4408223;-70.6520225;;;;;;;;;
San Francisco de Borja 122;estacion central;-33.4529941;-70.6802104;;;;;;;;;
